-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg      Self XPU    Self XPU %     XPU total  XPU time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                            gemm_kernel         0.00%       0.000us         0.00%       0.000us       0.000us        1.379s        52.57%        1.379s       1.432ms           963  
                                 _xpu_C::fp8_gemm_w8a16         0.21%      23.111ms         0.44%      48.750ms      52.589us        1.336s        50.94%        1.336s       1.441ms           927  
                                            aten::copy_         0.42%      46.921ms        24.01%        2.681s       1.063ms     665.734ms        25.38%     666.022ms     263.980us          2523  
                            Memcpy H2D (HOST -> DEVICE)         0.00%       0.000us         0.00%       0.000us       0.000us     352.016ms        13.42%     352.016ms     467.485us           753  
                            Memcpy D2H (DEVICE -> HOST)         0.00%       0.000us         0.00%       0.000us       0.000us     266.348ms        10.15%     266.348ms     629.665us           423  
                                _vllm_fa2_C::varlen_fwd         0.03%       2.846ms         0.11%      12.557ms     167.420us     180.846ms         6.89%     181.109ms       2.415ms            75  
compat::experimental::detail::KernelFunctor<&(void c...         0.00%       0.000us         0.00%       0.000us       0.000us     178.913ms         6.82%     178.913ms       3.508ms            51  
                                  _xpu_C::gdn_attention         0.07%       7.493ms         0.62%      69.685ms     483.922us     151.416ms         5.77%     159.871ms       1.110ms           144  
           gdn::ChunkFwdOKernel<cutlass::half_t, float>         0.00%       0.000us         0.00%       0.000us       0.000us      62.804ms         2.39%      62.804ms     436.138us           144  
                                zeMemGetAllocProperties         0.01%       1.572ms         0.01%       1.572ms       0.153us      49.485ms         1.89%      49.485ms       4.807us         10295  
                                 _xpu_C::int8_gemm_w8a8         0.01%     865.747us         0.01%       1.645ms      45.685us      42.773ms         1.63%      42.773ms       1.188ms            36  
                          Memcpy D2D (DEVICE -> DEVICE)         0.00%       0.000us         0.00%       0.000us       0.000us      40.388ms         1.54%      40.388ms      62.327us           648  
                         zeCommandListAppendSignalEvent         0.00%      36.407us         0.00%      36.407us       0.112us      40.335ms         1.54%      40.335ms     124.491us           324  
gdn::tiled_kernel_launcher<sycl::_V1::detail::half_i...         0.00%       0.000us         0.00%       0.000us       0.000us      34.264ms         1.31%      34.264ms     237.945us           144  
     triton_red_fused__to_copy_add_fused_add_rms_norm_4         0.03%       3.587ms         0.06%       7.114ms      74.109us      28.882ms         1.10%      28.882ms     300.850us            96  
